objectid,filename,title,creator,date,description,subject,location,latitude,longitude,type,format,language,rights,rightsstatement,rightsholder,rightsnote,publisher,source,identifier
bethel-refinement-plan_complete_1982,bethel-refinement-plan_complete_1982.pdf,Bethel-Danebo Refinement Plan,Bethel Citizens; Bethel Triangle Neighbors; Eugene Planning Commission,1982-09-13,"Updated refinement plan from 1982 that focuses on proposing policies that benefit the Bethel-Danebo neighborhoods and its Triangle Neighbors. Sections of this plan include land use, urban growth/development, and transportation in west Eugene.",city planning; land use -- planning,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 Be, Lane County History Museum",bethel-refinement-plan_complete_1982
bethel-refinement-plan_land-use_1982,bethel-refinement-plan_land-use_1982.pdf,Bethel-Danebo Refinement Plan: Land Use,Bethel Citizens; Bethel Triangle Neighbors; Eugene Planning Commission,1982-09-13,This document describes Land Use for Bethel.,land use–planning; city planning; cities and towns–growth; industrial development; urban policy;,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 Be, Lane County History Museum",bethel-refinement-plan_land-use_1982
bethel-refinement-plan_land-use-maps_1982,bethel-refinement-plan_land-use-maps_1982.pdf,Bethel-Danebo Refinement Plan: Land Use - Maps,Bethel Citizens; Bethel Triangle Neighbors; Eugene Planning Commission,1982-09-13,"This document includes maps of the Bethel-Danebo Areas and proposes future development or land use of the areas based on economic opportunities, and safety and/or accessibility features for housing development.",land use mapping; building; cities and towns--growth; city planning; land use; land use--planning; zoning,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 Be, Lane County History Museum",bethel-refinement-plan_land-use-maps_1982
bethel-refinement-plan_transportation_1982,bethel-refinement-plan_transportation_1982.pdf,Bethel-Danebo Refinement Plan: Transportation,Bethel Citizens; Bethel Triangle Neighbors; Eugene Planning Commission,1982-09-13,This document includes policies and proposals for improving the current state of transportation in the Bethel-Danebo area.,transportation,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 Be, Lane County History Museum",bethel-refinement-plan_transportation_1982
bethel-refinement-plan_urban_1982,bethel-refinement-plan_urban_1982.pdf,Bethel-Danebo Refinement Plan: Urban Services and the Urban Growth Boundary,Bethel Citizens; Bethel Triangle Neighbors; Eugene Planning Commission,1982-09-13,"This section illustrates the ""minimum level of key urban services"" for Eugene. These services include solid waste management, police and fire protection, electric service, public water service, sanitary sewers, communication services, parks and recreation programs, land use controls, and public schooling on a district wide basis.",urban policy,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 Be, Lane County History Museum",bethel-refinement-plan_urban_1982
bethel-refinement-plan_urban-maps_1982,bethel-refinement-plan_urban-maps_1982.pdf,Bethel-Danebo Refinement Plan: Urban Services and the Urban Growth Boundary - Maps,Bethel Citizens; Bethel Triangle Neighbors; Eugene Planning Commission,1982-09-13,"Map detailing developed and underdeveloped recreational parks in the Bethel-Danebo area (page 30), Section D describes schools in the Bethel-Danebo area and the proposal and policies about recreation parks in the surrounding area (page 31).",land use--planning,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 Be, Lane County History Museum",bethel-refinement-plan_urban-maps_1982
city-council_better-bethel_2015,city-council_better-bethel_2015.pdf,Building a Better Bethel,Bethel Economic Development Task Team,2015-06-01,"A five-year plan for economic development in Bethel Area, defined as the area bounded by Highway 99, the West 11th business corridor, Green Hill Road, and Clear Lake Road.",city planning; municipal government; transportation; zoning; industrial development projects; cities and towns--growth,"Eugene, Oregon",,,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,https://www.eugene-or.gov/DocumentCenter/View/25960/Bethel-Report_FINAL?bidId=,city-council_better-bethel_2015
eugene-historic-river-road_2006,eugene-historic-river-road_2006.pdf,Eugene's Historic River Road,Historic Preservation Northwest; City of Eugene Planning and Development Department,2006-06-01,"An account of the growth and development of Eugene's River Road area. Includes information about historic resources in the neighborhood and histories of racial, ethnic, and cultural groups in the area. Differs somewhat from 2005 draft version.",historic preservation; cities and towns--growth,"Eugene, Oregon",,,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,https://www.eugene-or.gov/DocumentCenter/View/27106/Eugenes-Historic-River-Road,eugene-historic-river-road_2006
west-eugene-industrial-study_appendix-a_1979,west-eugene-industrial-study_appendix-a_1979.pdf,Bethel Danebo Neighborhood Refinement Plan: West Eugene Industrial Study - Questionnaires,Eugene Planning Commission,1979-03-01,Excerpt from the Bethel Danebo Neighborhood Refinement Plan: West Eugene Industrial Study. Describes factors affecting decision-making regarding location of industrial sites (pages 23-27).,Industrial Surveys,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 Be, Lane County History Museum",west-eugene-industrial-study_appendix-a_1979
west-eugene-industrial-study_appendix-b_1979,west-eugene-industrial-study_appendix-b_1979.pdf,Bethel Danebo Neighborhood Refinement Plan: West Eugene Industrial Study - Supply and Demand in the West Eugene Industrial Area,Eugene Planning Commission,1979-03-01,Excerpt from the Bethel Danebo Neighborhood Refinement Plan: West Eugene Industrial Study. Discusses supply and demand in the West Eugene industrial area (pages 28-38) .,Supply and Demand; Industrial Development Projects,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 Be, Lane County History Museum",west-eugene-industrial-study_appendix-b_1979
west-eugene-industrial-study_complete_1979,west-eugene-industrial-study_complete_1979.pdf,Bethel Danebo Neighborhood Refinement Plan: West Eugene Industrial Study,Eugene Planning Commission,1979-03-01,A report based on several studies of areas in West Eugene zoned for industrial development. The report makes recommendations for how to attract industry to the area and meet the needs of potential developers.,industrial development projects; industrial surveys; land use--planning; city planning,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,https://www.eugene-or.gov/DocumentCenter/View/41478/Bethel-Danebo-Phase-2,west-eugene-industrial-study_complete_1979
west-eugene-industrial-study_findings_1979,west-eugene-industrial-study_findings_1979.pdf,Bethel Danebo Neighborhood Refinement Plan: West Eugene Industrial Study - Findings,Eugene Planning Commission,1979-03-01,Excerpt from the Bethel Danebo Neighborhood Refinement Plan: West Eugene Industrial Study. Describes the problems faced in the WEIA regarding industrial development and opportunities for alternative land uses (pages 9-21).,Industrial Development Projects,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 Be, Lane County History Museum",west-eugene-industrial-study_findings_1979
west-eugene-industrial-study_roosevelt-extension_1979,west-eugene-industrial-study_roosevelt-extension_1979.pdf,Bethel Danebo Neighborhood Refinement Plan: West Eugene Industrial Study - Roosevelt Extension,Eugene Planning Commission,1979-03-01,Excerpt from the Bethel Danebo Neighborhood Refinement Plan: West Eugene Industrial Study. Details supplemental policies and adjustmants with respect to the Roosevelt Extension and Drainage Facility.,industrial development projects; industrial surveys; land use--planning; city planning,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 Be, Lane County History Museum",west-eugene-industrial-study_roosevelt-extension_1979
west-eugene-wetlands-study_appendices_1991,west-eugene-wetlands-study_appendices_1991.pdf,West Eugene Wetlands Special Area Study 1991: Appendices,Lane Council of Governments,1991-03-01,"Excerpt from the West Eugene Wetlands Special Area Study 1991. Includes Appendix A (Natural Resources Special Study), Appendix B (Criteria for Determining Wetland Sites to be Protected and Developed), and Glossary.",land use--planning; wetland management; urban policy; industrial development projects; city planning; land use mapping; research and development parks,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 We, Lane County History Museum",west-eugene-wetlands-study_appendices_1991
west-eugene-wetlands-study_complete_1991,west-eugene-wetlands-study_complete_1991.pdf,West Eugene Wetlands Special Area Study 1991: Draft Plan,Lane Council of Governments,1991-03-01,"A report on the ecological value of the wetlands of West Eugene and an assessment of the potential for development on ""lesser value"" wetlands.",land use--planning; wetland management; urban policy; industrial development projects; city planning; land use mapping,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 We, Lane County History Museum",west-eugene-wetlands-study_complete_1991
west-eugene-wetlands-study_development_1991,west-eugene-wetlands-study_development_1991.pdf,West Eugene Wetlands Special Area Study 1991: Chapter 4 - Development and Mitigation,Lane Council of Governments,1991-03-01,"Excerpt from the West Eugene Wetlands Special Area Study 1991. Chapter 4, ""Development and Migitation,"" covers the need for economic development and ways to mitigate its environmental impacts.",land use--planning; wetland management; urban policy; industrial development projects; city planning; land use mapping; research and development parks,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 We, Lane County History Museum",west-eugene-wetlands-study_development_1991
west-eugene-wetlands-study_maps_1991,west-eugene-wetlands-study_maps_1991.pdf,West Eugene Wetlands Special Area Study 1991: Maps,Lane Council of Governments,1991-03-01,Excerpt from the West Eugene Wetlands Special Area Study 1991. Maps #2-6 give different visual representations of West Eugene's Wetlands,land use--planning; wetland management; urban policy; industrial development projects; city planning; land use mapping; research and development parks,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 We, Lane County History Museum",west-eugene-wetlands-study_maps_1991
west-eugene-wetlands-study_objectives_1991,west-eugene-wetlands-study_objectives_1991.pdf,"West Eugene Wetlands Special Area Study 1991: Preface, Chapters 1-3",Lane Council of Governments,1991-03-01,"Excerpt from the West Eugene Wetlands Special Area Study 1991. Consists of preface, and chapters 1-3 which give the reader an understanding the goals of the study, the policies that the study is looking to put in place, and the importance surrounding this study.",land use--planning; wetland management; urban policy; industrial development projects; city planning; land use mapping; research and development parks,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,"309.26 We, Lane County History Museum",west-eugene-wetlands-study_objectives_1991
west-eugene-wetlands-plan_2004,west-eugene-wetlands-plan_2004.pdf,West Eugene Wetlands Plan,City of Eugene; Lane Council of Governments,2004-05-01,A report building on and updating earlier wetlands management plans. The report sets forth recommendations for balancing ecological and economic imperatives in West Eugene.,city planning; industrial development projects; cities and towns--growth; wetland management; urban ecological design; land use--planning,"Eugene, Oregon",,,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene; Lane Council of Governments,https://www.eugene-or.gov/DocumentCenter/View/3465/West-Eugene-Wetlands-Plan-Full,west-eugene-wetlands-plan_2004
far-west-window_celebration_1984,far-west-window_celebration_1984.png,Cultural Celebration Column,Far West Window Newsletter,1984-03-01,"Community announcement about the local women's support group, Ebone Eyes, is putting up the 4th Cultural Faire for Black History Month.",community arts project; newsletter; African American History Month; neighborhood government,"Eugene, Oregon",,,text,image/png,English,NO KNOWN COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,,Use cleared with present-day neighborhood association leadership.,Far West Window Newsletter,"Neighborhood Association Collection, Lane County History Museum",far-west-window_celebration_1984
far-west-window_directory_1984,far-west-window_directory_1984.png,Minority Commision HR/Directory Column,Far West Window Newsletter,1984-03-01,An announcement that the city of Eugene's Commission on the Rights of Minorities is launching an 'Ethnic Minority Business and Human Resources directory' to give recognition to nonwhite business owners and provide them with equal economic opportunities.,minority business enterprises; newsletter; neighborhood government,"Eugene, Oregon",,,text,image/png,English,NO KNOWN COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,,Use cleared with present-day neighborhood association leadership.,Far West Window Newsletter,"Neighborhood Association Collection, Lane County History Museum",far-west-window_directory_1984
far-west-window_park-map_1984,far-west-window_park-map_1984.png,MLK Jr. Park Masterplan,Far West Window Newsletter,1984-03-01,This document contains information regarding the future plans and ideas for the Martin Luther King Jr. Park and calls the community to support the park.,"advertising, public services; parks; newsletter; neighborhood government","Eugene, Oregon",44.0521,-123.0868,text,image/png,English,NO KNOWN COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,,Use cleared with present-day neighborhood association leadership.,Far West Window Newsletter,"Neighborhood Association Collection, Lane County History Museum",far-west-window_park-map_1984
far-west-window_service-info_1984,far-west-window_service-info_1984.png,MLK Jr. Park Service Information,Far West Window Newsletter,1984-03-01,Community announcement about helping plant bulbs and building a a climbing wall at the Martin Luther King Jr. park.,"advertising, public services; parks; newsletter; neighborhood government","Eugene, Oregon",44.049819,-123.1206646,text,image/png,English,NO KNOWN COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,,Use cleared with present-day neighborhood association leadership.,Far West Window Newsletter,"Neighborhood Association Collection, Lane County History Museum",far-west-window_service-info_1984
far-west-window_survey_1984,far-west-window_survey_1984.png,MLK Jr. Park Community Survey,Far West Window Newsletter,1984-03-01,"This survey asks the community about their wants for the park, including shade, more tables, and types of lighting.","advertising, public services; parks; newsletter; neighborhood government","Eugene, Oregon",44.0521,-123.0868,text,image/png,English,NO KNOWN COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,,Use cleared with present-day neighborhood association leadership.,Far West Window Newsletter,"Neighborhood Association Collection, Lane County History Museum",far-west-window_survey_1984
